productId,userId,rating,productName
122,20,4.4258337,Product 22
114,20,3.858454,Product 14
118,20,3.786389,Product 18
146,40,4.4467196,Product 46
120,40,3.785327,Product 20
121,40,3.6585605,Product 21
126,100,3.836957,Product 26
105,100,3.6743064,Product 5
140,100,3.4669738,Product 40
146,10,4.4320393,Product 46
132,10,3.5799346,Product 32
120,10,3.4808953,Product 20
112,50,4.6695232,Product 12
147,50,4.436426,Product 47
111,50,4.226998,Product 11
111,80,4.7216034,Product 11
102,80,4.6618633,Product 2
118,80,4.5279994,Product 18
108,70,4.671831,Product 8
126,70,4.543402,Product 26
118,70,4.411813,Product 18
128,60,4.661833,Product 28
111,60,4.5085096,Product 11
143,60,4.3628736,Product 43
105,90,4.6354055,Product 5
139,90,4.597109,Product 39
116,90,4.074078,Product 16
109,30,5.2895985,Product 9
142,30,5.0931277,Product 42
127,30,4.8896914,Product 27
120,31,4.6986136,Product 20
102,31,4.6487575,Product 2
122,31,4.1970296,Product 22
122,81,4.831828,Product 22
106,81,4.792611,Product 6
114,81,4.529913,Product 14
122,91,4.626507,Product 22
115,91,4.3636055,Product 15
136,91,4.3481293,Product 36
119,1,3.7093072,Product 19
110,1,3.635317,Product 10
107,1,3.6189373,Product 7
102,41,5.2040215,Product 2
120,41,4.6709466,Product 20
147,41,4.6367555,Product 47
116,61,3.8370245,Product 16
123,61,3.7591722,Product 23
101,61,3.7411327,Product 1
110,51,4.681445,Product 10
125,51,4.6273384,Product 25
106,51,4.140795,Product 6
109,21,4.685965,Product 9
105,21,4.57842,Product 5
120,21,4.4262624,Product 20
131,11,4.5632586,Product 31
123,11,4.40268,Product 23
108,11,4.351675,Product 8
106,71,4.675472,Product 6
119,71,4.5508046,Product 19
107,71,3.9654484,Product 7
134,12,3.9528005,Product 34
106,12,3.7402437,Product 6
114,12,3.640689,Product 14
129,22,3.6117852,Product 29
108,22,3.5806339,Product 8
101,22,3.522123,Product 1
118,52,4.5285387,Product 18
123,52,4.041273,Product 23
108,52,3.3074014,Product 8
135,92,4.346796,Product 35
103,92,4.282141,Product 3
144,92,4.2556047,Product 44
113,72,3.8504007,Product 13
147,72,3.7781892,Product 47
138,72,3.6054401,Product 38
125,82,4.439066,Product 25
143,82,4.0178666,Product 43
110,82,3.8215983,Product 10
142,62,3.7153828,Product 42
134,62,3.6913135,Product 34
128,62,3.6636147,Product 28
120,32,3.6958833,Product 20
112,32,3.6411011,Product 12
128,32,3.6355193,Product 28
131,42,4.551906,Product 31
122,42,3.7589297,Product 22
108,42,3.695212,Product 8
147,2,3.585544,Product 47
130,2,3.5248656,Product 30
132,2,3.4549682,Product 32
142,53,3.873088,Product 42
107,53,3.800416,Product 7
141,53,3.7740352,Product 41
124,93,4.908502,Product 24
113,93,4.717869,Product 13
139,93,4.641759,Product 39
106,13,4.4773555,Product 6
141,13,4.0108833,Product 41
107,13,3.6482415,Product 7
111,3,5.412089,Product 11
113,3,4.730735,Product 13
147,3,4.626485,Product 47
146,43,3.7039301,Product 46
119,43,3.627496,Product 19
107,43,2.991895,Product 7
138,23,4.365226,Product 38
110,23,3.9213703,Product 10
143,23,3.8666005,Product 43
135,63,4.852054,Product 35
116,63,4.71615,Product 16
150,63,4.615249,Product 50
111,73,2.9828074,Product 11
128,73,2.9660292,Product 28
107,73,2.841946,Product 7
106,33,4.196957,Product 6
125,33,3.7181363,Product 25
120,33,3.7020626,Product 20
130,83,4.725661,Product 30
109,83,4.629731,Product 9
101,83,4.5137243,Product 1
128,34,4.484448,Product 28
121,34,3.9696245,Product 21
129,34,3.8556113,Product 29
124,44,4.6583023,Product 24
135,44,4.642553,Product 35
103,44,4.576442,Product 3
106,94,4.820841,Product 6
103,94,4.8166575,Product 3
122,94,4.6537104,Product 22
113,54,3.174852,Product 13
127,54,3.0079618,Product 27
129,54,2.9319448,Product 29
111,64,4.65908,Product 11
127,64,4.4857554,Product 27
102,64,3.8394403,Product 2
110,4,3.4658062,Product 10
138,4,2.9063551,Product 38
143,4,2.757871,Product 43
102,84,4.8009305,Product 2
120,84,4.414776,Product 20
104,84,4.386773,Product 4
120,24,4.061883,Product 20
103,24,3.8746371,Product 3
122,24,3.8126729,Product 22
128,14,5.470758,Product 28
121,14,5.1833167,Product 21
129,14,4.875843,Product 29
123,74,4.255368,Product 23
127,74,3.827589,Product 27
116,74,3.7651367,Product 16
131,85,3.7147148,Product 31
122,85,3.484692,Product 22
143,85,3.3558629,Product 43
114,65,4.5059357,Product 14
123,65,4.4480057,Product 23
131,65,4.328682,Product 31
117,5,4.733527,Product 17
145,5,4.5402856,Product 45
107,5,4.4374523,Product 7
107,15,4.4997697,Product 7
141,15,4.263007,Product 41
111,15,3.9372919,Product 11
141,35,4.6128826,Product 41
128,35,3.8236156,Product 28
106,35,3.6506622,Product 6
130,55,4.35781,Product 30
111,55,3.867228,Product 11
147,55,3.338402,Product 47
127,45,5.32099,Product 27
141,45,4.886082,Product 41
105,45,4.7741227,Product 5
135,25,4.8152266,Product 35
117,25,4.6808257,Product 17
142,25,4.5725174,Product 42
142,95,4.5861135,Product 42
109,95,4.547608,Product 9
139,95,4.403208,Product 39
101,75,4.778763,Product 1
132,75,4.584224,Product 32
134,75,4.3795505,Product 34
128,76,4.24925,Product 28
134,76,4.23788,Product 34
129,76,4.1751966,Product 29
101,26,4.621514,Product 1
116,26,4.613444,Product 16
135,26,4.3396587,Product 35
111,6,4.6406217,Product 11
102,6,3.9271488,Product 2
141,6,3.5215914,Product 41
127,16,3.8245544,Product 27
129,16,3.815692,Product 29
108,16,3.7871869,Product 8
128,86,5.149862,Product 28
129,86,5.005581,Product 29
135,86,4.885235,Product 35
111,96,3.7610986,Product 11
102,96,3.6422355,Product 2
147,96,3.270295,Product 47
142,56,4.743818,Product 42
139,56,4.727636,Product 39
112,56,4.7006087,Product 12
103,66,4.710041,Product 3
126,66,4.483769,Product 26
150,66,4.4784403,Product 50
120,46,4.645039,Product 20
126,46,4.5170755,Product 26
140,46,4.2784486,Product 40
128,36,4.8601995,Product 28
111,36,4.7750125,Product 11
132,36,4.6214314,Product 32
109,27,4.4055176,Product 9
105,27,3.8387513,Product 5
107,27,3.3621254,Product 7
146,47,4.4776206,Product 46
113,47,4.073149,Product 13
127,47,4.004963,Product 27
123,57,4.74097,Product 23
131,57,4.589233,Product 31
108,57,4.5009956,Product 8
118,37,4.694693,Product 18
103,37,4.489053,Product 3
123,37,4.3939037,Product 23
127,17,4.9849463,Product 27
119,17,4.698223,Product 19
141,17,4.6564937,Product 41
129,7,4.7413816,Product 29
143,7,4.6182194,Product 43
134,7,4.2545524,Product 34
143,87,4.36169,Product 43
122,87,3.626894,Product 22
129,87,3.548003,Product 29
103,97,4.589426,Product 3
124,97,4.5116615,Product 24
135,97,4.211556,Product 35
122,77,4.6945047,Product 22
106,77,4.2300034,Product 6
102,77,4.053122,Product 2
131,67,4.5438814,Product 31
138,67,4.3368073,Product 38
122,67,4.3080955,Product 22
112,78,4.620708,Product 12
128,78,4.6202335,Product 28
